TEAM,GP,Total_YDS,Total_YDS/G,Passing_YDS,Passing_YDS/G,Rushing_YDS,Rushing_YDS/G,Points_PTS,PointsPTS/G,Year
DEN,16,"5,392",337,"3,609",225.6,"1,783",111.4,316,19.8,2019
DET,16,"6,406",400.4,"4,551",284.4,"1,855",115.9,423,26.4,2019
GNB,16,"5,642",352.6,"3,721",232.6,"1,921",120.1,313,19.6,2019
TEN,16,"5,752",359.5,"4,080",255,"1,672",104.5,331,20.7,2019
IND,16,"5,549",346.8,"3,982",248.9,"1,567",97.9,373,23.3,2019
KAN,16,"5,594",349.6,"3,543",221.4,"2,051",128.2,308,19.3,2019
LVR,16,"5,677",354.8,"4,107",256.7,"1,570",98.1,419,26.2,2019
LAR,16,"5,434",339.6,"3,625",226.6,"1,809",113.1,364,22.8,2019
MIA,16,"6,364",397.8,"4,198",262.4,"2,166",135.4,494,30.9,2019
MIN,16,"5,465",341.6,"3,737",233.6,"1,728",108,303,18.9,2019
NWE,16,"4,414",275.9,"2,886",180.4,"1,528",95.5,225,14.1,2019
NOR,16,"5,329",333.1,"3,868",241.8,"1,461",91.3,341,21.3,2019
NYG,16,"6,037",377.3,"4,225",264.1,"1,812",113.3,451,28.2,2019
NYJ,16,"5,170",323.1,"3,779",236.2,"1,391",86.9,359,22.4,2019
PHI,16,"5,307",331.7,"3,865",241.6,"1,442",90.1,354,22.1,2019
ARI,16,"6,432",402,"4,510",281.9,"1,922",120.1,442,27.6,2019
PIT,16,"4,866",304.1,"3,113",194.6,"1,753",109.6,303,18.9,2019
LAC,16,"5,009",313.1,"3,204",200.3,"1,805",112.8,345,21.6,2019
SFO,16,"4,509",281.8,"2,707",169.2,"1,802",112.6,310,19.4,2019
SEA,16,"6,106",381.6,"4,223",263.9,"1,883",117.7,398,24.9,2019
TAM,16,"5,503",343.9,"4,322",270.1,"1,181",73.8,449,28.1,2019
WAS,16,"6,162",385.1,"3,823",238.9,"2,339",146.2,435,27.2,2019
CAR,16,"5,992",374.5,"3,696",231,"2,296",143.5,470,29.4,2019
JAX,16,"6,007",375.4,"3,778",236.1,"2,229",139.3,397,24.8,2019
BAL,16,"4,809",300.6,"3,315",207.2,"1,494",93.4,282,17.6,2019
HOU,16,"6,213",388.3,"4,276",267.3,"1,937",121.1,385,24.1,2019
ATL,16,"6,374",398.4,"4,697",293.6,"1,677",104.8,414,25.9,2020
BUF,16,"5,640",352.5,"3,726",232.9,"1,914",119.6,375,23.4,2020
CHI,16,"5,519",344.9,"3,705",231.6,"1,814",113.4,370,23.1,2020
CIN,16,"6,227",389.2,"3,859",241.2,"2,368",148,424,26.5,2020
CLE,16,"5,735",358.4,"3,962",247.6,"1,773",110.8,419,26.2,2020
DAL,16,"6,183",386.4,"3,642",227.6,"2,541",158.8,473,29.6,2020
DEN,16,"5,887",367.9,"3,807",237.9,"2,080",130,446,27.9,2020
DET,16,"6,716",419.8,"4,558",284.9,"2,158",134.9,519,32.4,2020
